timestamp,usd_rate,interest_rate,usd_pct_change,interest_diff
2001-06-01,3.887500047683716,27.25,,
2001-06-05,3.874300003051758,27.25,-0.00339550983152348,0.0
2001-06-06,3.874300003051758,27.25,0.0,0.0
2001-06-07,3.874300003051758,27.25,0.0,0.0
2001-06-08,3.874300003051758,27.25,0.0,0.0
2001-06-11,3.874300003051758,27.25,0.0,0.0
2001-06-12,3.882499933242798,27.25,0.002116493349658244,0.0
2001-06-13,3.879300117492676,27.25,-0.0008241637617877329,0.0
2001-06-14,3.883500099182129,27.25,0.001082664800930111,0.0
2001-06-15,3.8842999935150146,27.25,0.00020597252799192667,0.0
2001-06-18,3.882499933242798,27.25,-0.00046341947718298027,0.0
2001-06-19,3.874300003051758,27.25,-0.0021120232664604277,0.0
2001-06-20,3.874300003051758,27.25,0.0,0.0
2001-06-21,3.8842999935150146,27.25,0.00258110896300745,0.0
2001-06-22,3.8842999935150146,27.25,0.0,0.0
2001-06-25,3.8842999935150146,27.25,0.0,0.0
2001-06-26,3.879300117492676,27.25,-0.0012872013054311404,0.0
2001-06-27,3.874300003051758,27.25,-0.0012889217873015557,0.0
2001-06-28,3.879300117492676,27.25,0.001290585250749654,0.0
2001-06-29,3.8980000019073486,27.25,0.00482042735759225,0.0
2001-07-02,3.874300003051758,27.25,-0.006080040750126803,0.0
2001-07-03,3.9672000408172607,27.25,0.023978534881740288,0.0
2001-07-04,3.930000066757202,27.25,-0.00937688386703972,0.0
2001-07-05,3.9467999935150146,27.25,0.004274790451002319,0.0
2001-07-09,3.9467999935150146,27.25,0.0,0.0
2001-07-10,3.948499917984009,27.25,0.00043070955502866326,0.0
2001-07-13,3.9467999935150146,27.25,-0.00043052412417476926,0.0
2001-07-16,3.948499917984009,27.25,0.00043070955502866326,0.0
2001-07-17,3.948499917984009,27.25,0.0,0.0
2001-07-19,3.948499917984009,27.25,0.0,0.0
2001-07-20,3.948499917984009,27.25,0.0,0.0
2001-07-23,3.9493000507354736,27.25,0.00020264221048105213,0.0
2001-07-27,3.948499917984009,27.25,-0.00020260115493520026,0.0
2001-07-30,3.948499917984009,27.25,0.0,0.0
2001-08-01,3.9567999839782715,27.25,0.0021020808323837237,0.0
2001-08-02,3.948499917984009,27.25,-0.002097671357630171,0.0
2001-08-03,3.948499917984009,27.25,0.0,0.0
2001-08-07,4.215000152587891,27.25,0.06749404587551555,0.0
2001-08-08,4.222499847412109,27.25,0.0017792869638721953,0.0
2001-08-09,4.210000038146973,27.25,-0.002960286493035036,0.0
2001-08-13,4.224999904632568,27.25,0.0035629136222521396,0.0
2001-08-14,4.224999904632568,27.25,0.0,0.0
2001-08-16,4.210000038146973,27.25,-0.0035502643370829423,0.0
2001-08-20,4.235000133514404,27.25,0.005938264879074673,0.0
2001-08-21,4.258800029754639,27.25,0.005619810033036243,0.0
2001-08-22,4.254799842834473,27.25,-0.0009392755922368323,0.0
2001-08-23,4.257299900054932,27.25,0.0005875851538983401,0.0
2001-08-27,4.259500026702881,27.25,0.0005167892090292003,0.0
2001-08-28,4.26230001449585,27.25,0.0006573512795904346,0.0
2001-08-29,4.26230001449585,27.25,0.0,0.0
2001-08-30,4.26230001449585,27.25,0.0,0.0
2001-08-31,4.26230001449585,27.25,0.0,0.0
2001-09-03,4.258800029754639,27.25,-0.0008211493159344663,0.0
2001-09-04,4.26230001449585,27.25,0.0008218241562782946,0.0
2001-09-05,4.267300128936768,27.25,0.0011731024151075964,0.0
2001-09-06,4.26230001449585,27.25,-0.0011717278583270874,0.0
