datetime,DXY,SP500
2017-08-17,93.62000274658203,2430.010009765625
2017-08-18,93.43000030517578,2425.550048828125
2017-08-21,93.0999984741211,2428.3701171875
2017-08-22,93.55000305175781,2452.510009765625
2017-08-23,93.1500015258789,2444.0400390625
2017-08-24,93.27999877929688,2438.969970703125
2017-08-25,92.73999786376953,2443.050048828125
2017-08-28,92.20999908447266,2444.239990234375
2017-08-29,92.3499984741211,2446.300048828125
2017-08-30,92.87999725341797,2457.590087890625
2017-08-31,92.66999816894531,2471.64990234375
2017-09-01,92.80999755859375,2476.550048828125
2017-09-05,92.30999755859375,2457.85009765625
2017-09-06,92.29000091552734,2465.5400390625
2017-09-07,91.52999877929688,2465.10009765625
2017-09-08,91.33000183105469,2461.429931640625
2017-09-11,91.86000061035156,2488.110107421875
2017-09-12,91.91000366210938,2496.47998046875
2017-09-13,92.5199966430664,2498.3701171875
2017-09-14,92.12000274658203,2495.6201171875
2017-09-15,91.87000274658203,2500.22998046875
2017-09-18,92.05000305175781,2503.8701171875
2017-09-19,91.79000091552734,2506.64990234375
2017-09-20,92.51000213623047,2508.239990234375
2017-09-21,92.26000213623047,2500.60009765625
2017-09-22,92.16999816894531,2502.219970703125
2017-09-25,92.6500015258789,2496.659912109375
2017-09-26,92.97000122070312,2496.840087890625
2017-09-27,93.36000061035156,2507.0400390625
2017-09-28,93.08999633789062,2510.06005859375
2017-09-29,93.08000183105469,2519.360107421875
2017-10-02,93.55999755859375,2529.1201171875
2017-10-03,93.56999969482422,2534.580078125
2017-10-04,93.45999908447266,2537.739990234375
2017-10-05,93.95999908447266,2552.070068359375
2017-10-06,93.80000305175781,2549.330078125
2017-10-09,93.73999786376953,2544.72998046875
2017-10-10,93.29000091552734,2550.639892578125
2017-10-11,92.95999908447266,2555.239990234375
2017-10-12,93.12000274658203,2550.929931640625
2017-10-13,93.08999633789062,2553.169921875
2017-10-16,93.27999877929688,2557.639892578125
2017-10-17,93.48999786376953,2559.360107421875
2017-10-18,93.36000061035156,2561.260009765625
2017-10-19,93.2699966430664,2562.10009765625
2017-10-20,93.69999694824219,2575.2099609375
2017-10-23,93.94000244140625,2564.97998046875
2017-10-24,93.95999908447266,2569.1298828125
2017-10-25,93.70999908447266,2557.14990234375
2017-10-26,94.61000061035156,2560.39990234375
2017-10-27,94.91999816894531,2581.070068359375
2017-10-30,94.48999786376953,2572.830078125
2017-10-31,94.55000305175781,2575.260009765625
2017-11-01,94.81999969482422,2579.360107421875
2017-11-02,94.69000244140625,2579.85009765625
2017-11-03,94.94000244140625,2587.840087890625
2017-11-06,94.72000122070312,2591.1298828125
2017-11-07,94.91000366210938,2590.639892578125
2017-11-08,94.87000274658203,2594.3798828125
2017-11-09,94.44000244140625,2584.6201171875
2017-11-10,94.38999938964844,2582.300048828125
2017-11-13,94.48999786376953,2584.840087890625
2017-11-14,93.83000183105469,2578.8701171875
2017-11-15,93.80999755859375,2564.6201171875
2017-11-16,93.93000030517578,2585.639892578125
2017-11-17,93.66000366210938,2578.85009765625
2017-11-20,94.08000183105469,2582.139892578125
2017-11-21,93.94999694824219,2599.030029296875
2017-11-22,93.22000122070312,2597.080078125
2017-11-24,92.76000213623047,2602.419921875
2017-11-27,92.9000015258789,2601.419921875
2017-11-28,93.26000213623047,2627.0400390625
2017-11-29,93.26000213623047,2626.070068359375
2017-11-30,93.01000213623047,2647.580078125
2017-12-01,92.9000015258789,2642.219970703125
2017-12-04,93.19000244140625,2639.43994140625
2017-12-05,93.37999725341797,2629.570068359375
2017-12-06,93.61000061035156,2629.27001953125
2017-12-07,93.80000305175781,2636.97998046875
2017-12-08,93.9000015258789,2651.5
2017-12-11,93.87000274658203,2659.989990234375
2017-12-12,94.0999984741211,2664.110107421875
2017-12-13,93.43000030517578,2662.85009765625
2017-12-14,93.48999786376953,2652.010009765625
2017-12-15,93.93000030517578,2675.81005859375
2017-12-18,93.69999694824219,2690.159912109375
2017-12-19,93.47000122070312,2681.469970703125
2017-12-20,93.3499984741211,2679.25
2017-12-21,93.27999877929688,2684.570068359375
2017-12-22,93.3499984741211,2683.340087890625
2017-12-26,93.26000213623047,2680.5
2017-12-27,93.02999877929688,2682.6201171875
2017-12-28,92.5999984741211,2687.5400390625
2017-12-29,92.12000274658203,2673.610107421875
2018-01-02,91.8499984741211,2695.81005859375
2018-01-03,92.16000366210938,2713.06005859375
2018-01-04,91.8499984741211,2723.989990234375
2018-01-05,91.94999694824219,2743.14990234375
2018-01-08,92.33000183105469,2747.7099609375
2018-01-09,92.52999877929688,2751.2900390625
2018-01-10,92.33000183105469,2748.22998046875
