Price,Close,High,Low,Open,Volume
Ticker,ISPH.CA,ISPH.CA,ISPH.CA,ISPH.CA,ISPH.CA
Date,,,,,
2017-12-12,3.958892822265625,4.058895009268445,3.8235961042719495,3.8235961042719495,82484416
2017-12-13,4.094189643859863,4.182426418322182,4.029482850068635,4.082425088893831,32543496
2017-12-14,4.047130107879639,4.147131872430222,4.000070146653827,4.094189633735939,16515814
2017-12-17,4.28242826461792,4.411841841506492,4.11771928426978,4.0471297834590745,10368296
2017-12-18,4.270663261413574,4.3530181950858235,4.176544643325277,4.282428687307701,10713185
2017-12-19,4.494196891784668,4.694199975034952,4.247133849774799,4.270662958415615,9078940
2017-12-20,4.494196891784668,4.494196891784668,4.494196891784668,4.494196891784668,0
2017-12-21,4.90596866607666,5.14714898313703,4.764789667807026,4.8942032416231465,7340079
2017-12-24,4.735377311706543,4.905969012413964,4.588316461567311,4.905969012413964,2678338
2017-12-25,4.7883195877075195,4.882439072422767,4.705965528372366,4.735377350344599,1114761
2017-12-26,4.847143650054932,4.905969035271492,4.747142759108174,4.788319570946868,1072757
2017-12-27,4.800084114074707,4.882439043663767,4.705965500652847,4.847143638470386,4502899
2017-12-28,4.764790058135986,4.9059690679709265,4.647140593027201,4.800084157540469,2591558
2017-12-31,4.882439136505127,4.911851829602404,4.705965590138498,4.764790105594041,2379380
2018-01-01,4.882439136505127,4.882439136505127,4.882439136505127,4.882439136505127,0
2018-01-02,4.800084114074707,4.888321756319163,4.735377322451836,4.882439043663767,1541748
2018-01-03,4.923616409301758,5.176561739966099,4.823614210078112,4.8824391612007005,9451954
2018-01-04,5.06479549407959,5.117737733166379,5.00597010674169,4.923616480094495,5170919
2018-01-07,5.06479549407959,5.06479549407959,5.06479549407959,5.06479549407959,0
2018-01-08,5.0589118003845215,5.094206764722624,4.970675042593413,5.064794512125587,3232180
2018-01-09,5.011852741241455,5.0883249599196265,4.970675928561834,5.058912702080178,2120981
2018-01-10,5.005970001220703,5.08832493224048,4.953028633988896,5.011852713978297,2139113
2018-01-11,5.0589118003845215,5.176560810772666,4.982439595336683,5.005969136192655,1283263
2018-01-14,5.147149085998535,5.2942107994338325,5.058912319159042,5.058912319159042,403149
2018-01-15,5.023618221282959,5.176561789558387,4.982440537417904,5.147149531400073,6411994
2018-01-16,5.035382270812988,5.1412671732196085,4.988322749557292,5.023617717026165,2505215
2018-01-17,5.1412672996521,5.182444109657523,5.076559640016493,5.03538239464159,2079570
2018-01-18,5.311858654022217,5.523627179112291,5.123619674806913,5.1412678137944186,6867881
2018-01-21,5.458920478820801,5.588334071809797,5.335388292821506,5.311858746536929,1678600
2018-01-22,5.782454967498779,5.941281233269294,5.576568744929986,5.45891972367323,5719493
2018-01-23,6.1001081466674805,6.235404448402802,5.941281864034921,6.000105945538981,7081576
2018-01-24,6.188344478607178,6.382464847938595,5.970692823955899,6.100107709618633,8026061
2018-01-25,6.188344478607178,6.188344478607178,6.188344478607178,6.188344478607178,0
2018-01-28,6.153048992156982,6.317757973695768,6.088342203244945,6.1883443958716935,461787
2018-01-29,6.300110816955566,6.353053052710925,6.135401832547558,6.200108622586784,3684326
2018-01-30,6.1236371994018555,6.3530529708946135,5.982458196118699,6.30011073582106,1696565
2018-01-31,5.953045845031738,6.1177548367354575,5.588333761839871,6.1236375495074515,1431157
2018-02-01,6.082460403442383,6.176579013569073,6.000105476736636,5.953045518619067,3502922
2018-02-04,5.941282272338867,6.029519053713146,5.794220534678856,6.082461296685532,1635798
2018-02-05,6.0412821769714355,6.058930313998223,5.941281291586669,5.941281291586669,4747528
2018-02-06,5.864809036254883,6.000105323974558,5.653040100856402,6.04128213322485,1196474
2018-02-07,6.076578140258789,6.205991728541723,5.929516413322745,5.864809619181278,9660131
2018-02-08,6.547173976898193,6.6824702719409865,6.170697348751702,6.076577865187957,4951870
2018-02-11,6.488349437713623,6.647175701215081,6.300110483948706,6.617763010951624,2093957
2018-02-12,6.564822196960449,6.647176256319323,6.417760474839924,6.488349979554316,849113
2018-02-13,6.735413074493408,6.882474797620998,6.470702756528852,6.56482224191573,1647951
2018-02-14,6.74129581451416,6.8236494394008504,6.664823160905288,6.735413101758322,4308470
2018-02-15,7.041301250457764,7.3354233979136945,6.735413241875884,6.741295954754102,2950806
2018-02-18,7.335422992706299,7.529544670312974,7.26483392502313,7.0413008614976205,6107709
2018-02-19,7.229539394378662,7.494249269046587,7.094242230027789,7.33542299595024,4830545
2018-02-20,7.229539394378662,7.229539394378662,7.229539394378662,7.229539394378662,0
2018-02-21,6.523643970489502,6.7060002242532555,6.35305314191379,6.835414676887785,9244280
2018-02-22,6.658940315246582,6.753059357612853,6.43540682773012,6.523643593212049,4879622
2018-02-25,6.588351726531982,6.753059844872557,6.500114519313925,6.658940795715229,2532877
2018-02-26,6.517762184143066,6.647176202510258,6.400113155694618,6.588351688286034,4865462
2018-02-27,6.711883068084717,6.823649385122551,6.547174078143484,6.647176275871733,3140536
2018-02-28,6.8236494064331055,6.894239346945091,6.7648253267454574,6.7118830890462196,2661752
2018-03-01,6.22952127456665,6.782472301782318,6.141284505784992,6.823649112251504,20836785
2018-03-04,5.564803600311279,6.00010561037741,5.382447782337263,5.970692918214078,20725857
2018-03-05,5.676570892333984,5.91775211766517,5.47068507511697,5.564804131696935,8136362
2018-03-06,5.923633575439453,6.0001057937359645,5.823632247580026,5.676570523747238,4871050
2018-03-07,5.864809036254883,5.988340770114172,5.711865482375158,5.923633111665223,6256145
2018-03-08,5.753042221069336,5.847161698384425,5.6648054559817655,5.864808964328046,3316034
2018-03-11,5.7059831619262695,5.85304488434454,5.647158647106762,5.753042686707976,2175303
2018-03-12,5.7765727043151855,5.82951494214452,5.688335931512631,5.705983198999241,3828626
2018-03-13,5.7765727043151855,5.7765727043151855,5.7765727043151855,5.7765727043151855,0
2018-03-14,5.494213581085205,5.758924738115255,5.323623204288699,5.7648065794044925,7067803
2018-03-15,5.358917713165283,5.441271769589566,5.311858190155767,5.494214005081201,5173573
2018-03-18,5.188326835632324,5.429507160735393,5.029499695385972,5.358917659246611,5096030
2018-03-19,5.270681381225586,5.488331747610126,5.035382875931571,5.188327317973726,6580413
2018-03-20,5.600099086761475,5.7471599375068285,5.3589178809419185,5.270681109273006,6387753
2018-03-21,5.547157287597656,5.735395835761265,5.4118605453938065,5.600099528926949,4273350
2018-03-22,5.400094509124756,5.611863450520001,5.300093621632349,5.547156660977662,1333703
2018-03-25,5.288328647613525,5.388330849741154,5.235386407750551,5.400094969568275,1297756
2018-03-26,5.382447719573975,5.51774401217409,5.253033704116239,5.288328237709491,2610839
2018-03-27,5.447154521942139,5.51186131213266,5.39421315680197,5.3824477317516175,1659493
2018-03-28,5.553040027618408,5.711866317005851,5.41186057160014,5.441272395918296,4188799
2018-03-29,5.76480770111084,5.870692619895216,5.6589236530655365,5.553040040389768,2795450
2018-04-01,5.629510402679443,5.770689398809459,5.541273638940548,5.764806686671857,877438
2018-04-02,6.070695400238037,6.323641168897397,5.788337373396847,5.794220086254921,6742642
2018-04-03,6.0412821769714355,6.176578901040303,5.882455909641942,6.070694867943799,3380454
2018-04-04,6.223639488220215,6.4648207220376195,6.02951909045728,6.041283211047024,4546778
2018-04-05,6.147167205810547,6.2648166659839974,6.005988201897994,6.2236385494897455,4094514
2018-04-08,6.147167205810547,6.147167205810547,6.147167205810547,6.147167205810547,0
2018-04-09,6.147167205810547,6.147167205810547,6.147167205810547,6.147167205810547,0
2018-04-10,6.070695400238037,6.176579442618728,5.97657591283447,6.147167619806409,2224673
2018-04-11,5.994223117828369,6.076578049391435,5.894221789354131,6.070695336595033,1806963
2018-04-12,5.97657585144043,6.170697537111535,5.858926819921647,5.994223119094346,1854250
2018-04-15,5.805984973907471,5.988341232631083,5.747160023214769,5.976575807123038,936690
2018-04-16,5.9059858322143555,6.100107501015935,5.741276854105963,5.805984512409294,1022148
2018-04-17,5.923633575439453,6.047165318970313,5.858926782663412,5.90598630789776,1800035
2018-04-18,6.0530476570129395,6.194226659345721,5.835396441117707,5.923633208733325,4500607
2018-04-19,6.353053092956543,6.470702554865906,6.053047814058171,6.053047814058171,4640350
2018-04-22,6.476584434509277,6.582469342678784,6.311876318834682,6.353053130068584,2411075
2018-04-23,6.5059967041015625,6.588351632839688,6.358935855148136,6.476584447236978,4307242
2018-04-24,6.394230365753174,6.5118793927794085,6.305993595483497,6.505996680206402,869424
2018-04-25,6.394230365753174,6.394230365753174,6.394230365753174,6.394230365753174,0
2018-04-26,6.429524898529053,6.523644387727617,6.253051781441976,6.394230797555063,1585655
2018-04-29,6.32952356338501,6.41187762093008,6.253051347663136,6.429524452508141,414233
2018-04-30,6.288346290588379,6.358935793452404,6.235404054597987,6.329523536873184,658250
2018-05-01,6.288346290588379,6.288346290588379,6.288346290588379,6.288346290588379,0
2018-05-02,6.558939456939697,6.758942544866041,6.253051459328703,6.288346429223587,1784615
2018-05-03,6.4354071617126465,6.706000184455387,6.247168631841499,6.5589393363895265,2651382
2018-05-06,6.323640823364258,6.464819829070622,6.282463577085777,6.435407137126432,779377
2018-05-07,6.394230365753174,6.58246933143854,6.294228170337484,6.3236408624635345,547457
2018-05-08,6.294228553771973,6.364818061361814,6.235404472044877,6.394230755279639,453817
2018-05-09,6.235404014587402,6.353053040149367,6.117754553655952,6.294228091998898,2477647
2018-05-10,6.211874485015869,6.405995304171964,6.017753230490256,6.235404465979434,1211036
