timestamp,open,high,low,close,volume,usd_egp_rate,close_usd,log_ret_usd,price_velocity_usd
1998-01-01,1000.0,1000.25,1000.0,1000.25,0,3.874300003051758,258.17567024032996,,
1998-01-04,1000.25,1000.25,998.3900146,998.3900146,0,3.874300003051758,257.6955872837869,-0.0018612515672231536,
1998-01-05,998.3900146,998.3900146,996.25,996.25,0,3.874300003051758,257.1432256705111,-0.002145766050144941,-0.00028451448292178745
1998-01-06,996.25,996.25,992.8699951,992.8699951,0,3.874300003051758,256.2708087442696,-0.0033984959664072954,-0.0012527299162623544
1998-01-07,992.8699951,992.8699951,989.3499756,989.3499756,0,3.874300003051758,255.36225248966167,-0.003551596935103788,-0.00015310096869649258
1998-01-08,989.3499756,989.3499756,984.3800049,984.3800049,0,3.874300003051758,254.07944767431823,-0.005036130812090264,-0.0014845338769864757
1998-01-11,984.3800049,984.3800049,980.6300049,980.6300049,0,3.874300003051758,253.11153089011304,-0.003816779068755431,0.0012193517433348325
1998-01-12,980.6300049,980.6300049,971.1500244,971.1500244,0,3.874300003051758,250.6646422928096,-0.009714265818563755,-0.0058974867498083235
1998-01-13,971.1500244,971.1500244,966.6900024,966.6900024,0,3.874300003051758,249.51346091901644,-0.004603093955713875,0.0051111718628498795
1998-01-14,966.6900024,967.8499756,966.6900024,967.8499756,0,3.874300003051758,249.8128629268853,0.0011992239473591613,0.005802317903073036
1998-01-15,967.8499756,970.210022,967.8499756,970.210022,0,3.874300003051758,250.42201719943543,0.0024354741958916063,0.001236250248532445
1998-01-18,970.210022,970.8499756,970.210022,970.8499756,0,3.874300003051758,250.58719635424941,0.0006593857185492371,-0.001776088477342369
1998-01-19,970.8499756,970.8499756,963.4000244,963.4000244,0,3.874300003051758,248.66428093878554,-0.007703231753900095,-0.008362617472449332
1998-01-20,963.4000244,963.4000244,960.7299805,960.7299805,0,3.874300003051758,247.97511285735231,-0.002775327650698863,0.004927904103201232
1998-01-21,960.7299805,960.7299805,954.5900269,954.5900269,0,3.874300003051758,246.39032241903735,-0.0064114347305807805,-0.0036361070798819175
1998-01-22,954.5900269,954.5900269,953.1699829,953.1699829,0,3.874300003051758,246.0237932398614,-0.0014887032427564656,0.004922731487824315
1998-01-25,953.1699829,953.1699829,947.4799805,947.4799805,0,3.874300003051758,244.5551402198273,-0.005987445858008374,-0.0044987426152519085
1998-01-26,947.4799805,947.4799805,939.0300293,939.0300293,0,3.874300003051758,242.37411366190872,-0.008958349154567847,-0.0029709032965594736
1998-01-27,939.0300293,939.0300293,924.0599976,924.0599976,0,3.874300003051758,238.5101816772384,-0.016070456714072735,-0.007112107559504888
1998-02-01,924.0599976,924.0599976,912.8099976,912.8099976,0,3.874300003051758,235.60643132462283,-0.012249250788542427,0.003821205925530308
1998-02-02,912.8099976,912.8099976,889.1599731,889.1599731,0,3.874300003051758,229.5020964818458,-0.02625058447865153,-0.014001333690109101
1998-02-03,889.1599731,901.5900269,889.1599731,901.5900269,0,3.874300003051758,232.71043186893738,0.013882734477646973,0.0401333189562985
1998-02-04,901.5900269,912.0499878,901.5900269,912.0499878,0,3.874300003051758,235.41026432686806,0.011534898600025581,-0.0023478358776213917
1998-02-05,912.0499878,920.6900024,912.0499878,920.6900024,0,3.874300003051758,237.6403483660995,0.009428591744045258,-0.0021063068559803236
1998-02-08,920.6900024,935.1900024,920.6900024,935.1900024,0,3.874300003051758,241.38295993169288,0.015626328161480435,0.006197736417435177
1998-02-09,935.1900024,935.3800049,935.1900024,935.3800049,0,3.874300003051758,241.43200169403713,0.0002031493064947701,-0.015423178854985665
1998-02-10,935.3800049,935.3800049,917.9299927,917.9299927,0,3.874300003051758,236.92795910924636,-0.018831741958579153,-0.019034891265073923
1998-02-11,917.9299927,918.6799927,917.9299927,918.6799927,0,3.874300003051758,237.12154246608742,0.0008167221614689289,0.01964846412004808
1998-02-12,918.6799927,920.0,918.6799927,920.0,0,3.874300003051758,237.46225105833898,0.0014358208350046184,0.0006190986735356895
1998-02-15,920.0,920.0,914.0200195,914.0200195,0,3.874300003051758,235.91875145962706,-0.006521195628388597,-0.007957016463393215
1998-02-16,914.0200195,914.0200195,913.9299927,913.9299927,0,3.874300003051758,235.8955145394275,-9.850028621180933e-05,0.006422695342176788
1998-02-17,913.9299927,913.9299927,911.4500122,911.4500122,0,3.874300003051758,235.2554039393071,-0.0027172227247861786,-0.002618722438574369
1998-02-18,911.4500122,916.1900024,911.4500122,916.1900024,0,3.874300003051758,236.47884822505327,0.005187017978976695,0.007904240703762874
1998-02-19,916.1900024,919.9500122,916.1900024,919.9500122,0,3.874300003051758,237.44934865017217,0.004095564619245419,-0.001091453359731276
1998-02-22,919.9500122,919.9500122,912.6699829,912.6699829,0,3.874300003051758,235.5702919704454,-0.00794498322977065,-0.012040547849016068
1998-02-23,912.6699829,914.6599731,912.6699829,914.6599731,0,3.874300003051758,236.08393061444107,0.0021780313639659593,0.010123014593736608
1998-02-24,914.6599731,914.6599731,913.8300171,913.8300171,0,3.874300003051758,235.8697097230939,-0.000907804864045301,-0.0030858362280112603
1998-02-25,913.8300171,917.710022,913.8300171,917.710022,0,3.874300003051758,236.87118222056282,0.0042368832839845575,0.005144688148029859
1998-02-26,917.710022,918.289978,917.710022,918.289978,0,3.874300003051758,237.02087532629628,0.0006317603669300566,-0.003605122917054501
1998-03-01,918.289978,918.289978,917.0900269,917.0900269,0,3.874300003051758,236.71115457698548,-0.0013075780085862946,-0.0019393383755163512
1998-03-02,917.0900269,925.4199829,917.0900269,925.4199829,0,3.874300003051758,238.86120903674302,0.009042027097969923,0.010349605106556218
1998-03-03,925.4199829,932.4199829,925.4199829,932.4199829,0,3.874300003051758,240.66798703392604,0.0075356685451655235,-0.0015063585528043997
1998-03-04,932.4199829,944.5200195,932.4199829,944.5200195,0,3.874300003051758,243.7911413044959,0.0128935439209074,0.005357875375741876
1998-03-05,944.5200195,944.5200195,936.0200195,936.0200195,0,3.874300003051758,241.59719659363083,-0.009040017946951645,-0.021933561867859046
1998-03-08,936.0200195,936.0200195,933.0800171,933.0800171,0,3.874300003051758,240.8383492153472,-0.0031459041837656574,0.005894113763185988
1998-03-09,933.0800171,933.0800171,929.4199829,929.4199829,0,3.874300003051758,239.89365360656188,-0.003930243109898623,-0.0007843389261329658
1998-03-10,929.4199829,929.4199829,927.8300171,927.8300171,0,3.874300003051758,239.48326571745994,-0.0017121724935109039,0.0022180706163877194
1998-03-11,927.8300171,932.5800171,927.8300171,932.5800171,0,3.874300003051758,240.70929364411984,0.005106412257967616,0.00681858475147852
1998-03-12,932.5800171,938.8599854,932.5800171,938.8599854,0,3.874300003051758,242.33022343661227,0.006711400673195676,0.0016049884152280593
1998-03-15,938.8599854,939.289978,938.8599854,939.289978,0,3.874300003051758,242.44120931784533,0.0004578895339755957,-0.00625351113922008
1998-03-16,939.289978,949.0,939.289978,949.0,0,3.874300003051758,244.94747418952576,0.01028455127178581,0.009826661737810214
1998-03-17,949.0,949.0,946.7700195,946.7700195,0,3.874300003051758,244.371891375019,-0.002352586544215403,-0.012637137816001214
1998-03-18,946.7700195,948.0999756,946.7700195,948.0999756,0,3.874300003051758,244.71516786340464,0.0014037441263942223,0.0037563306706096256
1998-03-19,948.0999756,953.2800293,948.0999756,953.2800293,0,3.874300003051758,246.0521974418884,0.005448744050465896,0.004044999924071674
1998-03-22,953.2800293,956.1099854,953.2800293,956.1099854,0,3.874300003051758,246.7826406439561,0.002964253650554449,-0.0024844903999114475
1998-03-23,956.1099854,969.4699707,956.1099854,969.4699707,0,3.874300003051758,250.2310017129173,0.013876546216454125,0.010912292565899677
1998-03-24,969.4699707,969.4699707,966.7399902,966.7399902,0,3.874300003051758,249.52636332718322,-0.002819923823618623,-0.01669647004007275
1998-03-25,966.7399902,966.7399902,957.9400024,957.9400024,0,3.874300003051758,247.25498842253768,-0.00914442828936343,-0.006324504465744807
1998-03-26,957.9400024,959.9899902,957.9400024,959.9899902,0,3.874300003051758,247.78411311561388,0.002137709489185901,0.011282137778549332
1998-03-29,959.9899902,970.5499878,959.9899902,970.5499878,0,3.874300003051758,250.50976616046896,0.010940050970475632,0.00880234148128973
1998-03-30,970.5499878,970.5499878,968.1099854,968.1099854,0,3.874300003051758,249.8799743534127,-0.0025172064336872304,-0.013457257404162863
1998-03-31,968.1099854,968.1099854,966.5300293,966.5300293,0,3.874300003051758,249.47217007941342,-0.0016333337808737062,0.0008838726528135241
1998-04-01,966.5300293,966.5300293,964.9500122,964.9500122,0,3.874300003051758,249.0643500606344,-0.0016360691409197969,-2.7353600460906183e-06
