timestamp,open,high,low,close,volume
1998-01-05 08:00:00+00:00,998.39,998.39,996.25,996.25,0
1998-01-06 08:00:00+00:00,996.25,996.25,992.87,992.87,0
1998-01-07 08:00:00+00:00,992.87,992.87,989.35,989.35,0
1998-01-08 08:00:00+00:00,989.35,989.35,984.38,984.38,0
1998-01-11 08:00:00+00:00,984.38,984.38,980.63,980.63,0
1998-01-12 08:00:00+00:00,980.63,980.63,971.15,971.15,0
1998-01-13 08:00:00+00:00,971.15,971.15,966.69,966.69,0
1998-01-14 08:00:00+00:00,966.69,967.85,966.69,967.85,0
1998-01-15 08:00:00+00:00,967.85,970.21,967.85,970.21,0
1998-01-18 08:00:00+00:00,970.21,970.85,970.21,970.85,0
1998-01-19 08:00:00+00:00,970.85,970.85,963.4,963.4,0
1998-01-20 08:00:00+00:00,963.4,963.4,960.73,960.73,0
1998-01-21 08:00:00+00:00,960.73,960.73,954.59,954.59,0
1998-01-22 08:00:00+00:00,954.59,954.59,953.17,953.17,0
1998-01-25 08:00:00+00:00,953.17,953.17,947.48,947.48,0
1998-01-26 08:00:00+00:00,947.48,947.48,939.03,939.03,0
1998-01-27 08:00:00+00:00,939.03,939.03,924.06,924.06,0
1998-02-01 08:00:00+00:00,924.06,924.06,912.81,912.81,0
1998-02-02 08:00:00+00:00,912.81,912.81,889.16,889.16,0
1998-02-03 08:00:00+00:00,889.16,901.59,889.16,901.59,0
1998-02-04 08:00:00+00:00,901.59,912.05,901.59,912.05,0
1998-02-05 08:00:00+00:00,912.05,920.69,912.05,920.69,0
1998-02-08 08:00:00+00:00,920.69,935.19,920.69,935.19,0
1998-02-09 08:00:00+00:00,935.19,935.38,935.19,935.38,0
1998-02-10 08:00:00+00:00,935.38,935.38,917.93,917.93,0
1998-02-11 08:00:00+00:00,917.93,918.68,917.93,918.68,0
1998-02-12 08:00:00+00:00,918.68,920.0,918.68,920.0,0
1998-02-15 08:00:00+00:00,920.0,920.0,914.02,914.02,0
1998-02-16 08:00:00+00:00,914.02,914.02,913.93,913.93,0
1998-02-17 08:00:00+00:00,913.93,913.93,911.45,911.45,0
1998-02-18 08:00:00+00:00,911.45,916.19,911.45,916.19,0
